player_id,player_name,team,season,week,rookie,home,qb_id,touchdown,against,wp,report_status,yards_gained,rolling_yapg,rolling_rushing_yards,rolling_receiving_yards,rolling_rushing_touchdowns,rolling_receiving_touchdowns,player_id_drop,passing_tds,passing_yards,qb_rolling_passing_tds,qb_rolling_passing_yards,prev_rushing_yards,prev_receiving_yards,prev_rushing_touchdowns,prev_receiving_touchdowns,prev_red_zone,rolling_red_zone,played
00-0038115,Daniel Bellinger,NYG,2024,8,0,0,00-0035710,0,PIT,0.28985507246376807,Healthy,,,0.0,11.0,0.0,0.0,,,,,,0.0,31.0,0.0,0.0,0.4717,0.5,
00-0038117,Wan'Dale Robinson,NYG,2024,8,0,0,00-0035710,0,PIT,0.28985507246376807,Healthy,,,1.0,45.0,0.0,0.25,,,,,,18.0,303.0,0.0,2.0,0.4717,0.5,
00-0038120,Breece Hall,NYJ,2024,8,0,0,00-0023459,0,NE,0.7101449275362319,Healthy,336.0,336.0,44.5,46.75,0.25,0.0,00-0023459,2.0,233.0,2.0,233.0,428.0,316.0,3.0,1.0,0.46149999999999997,0.7,1.0
00-0038122,Desmond Ridder,LV,2024,8,0,1,00-0038579,0,KC,0.22727272727272727,Healthy,,,,,,,,,,,,,,,,0.5088,0.5714,
00-0038124,Christian Watson,GB,2024,8,0,0,00-0036264,0,JAX,0.6153846153846154,Minor,422.0,422.0,-1.3333333333333333,25.666666666666668,0.0,0.3333333333333333,00-0036264,0.0,196.0,0.0,196.0,-4.0,196.0,0.0,2.0,0.5577000000000001,0.8181999999999999,1.0
00-0038128,Malik Willis,GB,2024,8,0,0,00-0036264,0,JAX,0.6153846153846154,Healthy,422.0,422.0,,,,,00-0036264,0.0,196.0,0.0,196.0,137.0,0.0,1.0,0.0,0.5577000000000001,0.8181999999999999,1.0
00-0038129,Cade Otton,TB,2024,8,0,1,00-0034855,1,ATL,0.49504950495049505,Healthy,432.0,432.0,0.0,52.75,0.0,0.25,00-0034855,3.0,330.0,3.0,330.0,-4.0,344.0,0.0,3.0,0.45280000000000004,0.625,1.0
00-0038134,Kenneth Walker III,SEA,2024,8,0,1,00-0030565,0,BUF,0.4132231404958678,Minor,,,50.0,38.5,1.25,0.25,,,,,,303.0,160.0,6.0,1.0,0.5536,0.3333,
00-0038145,Thomas Odukoya,TEN,2024,8,0,0,00-0034771,0,DET,0.11111111111111116,Healthy,416.0,416.0,,,,,00-0034771,1.0,266.0,1.0,266.0,,,,,0.6563,0.4286,
00-0038359,Xavier Smith,LA,2024,8,0,1,00-0026498,0,MIN,0.43478260869565216,Healthy,386.0,386.0,15.0,3.0,0.0,0.0,00-0026498,4.0,279.0,4.0,279.0,30.0,6.0,0.0,0.0,0.54,0.8571,
00-0038389,Israel Abanikanda,NYJ,2024,8,0,0,00-0023459,0,NE,0.7101449275362319,Healthy,336.0,336.0,,,,,00-0023459,2.0,233.0,2.0,233.0,,,,,0.46149999999999997,0.7,
