player_id,player_name,team,season,week,rookie,home,touchdown,against,wp,report_status,yards_gained,rolling_yapg,rolling_rushing_yards,rolling_receiving_yards,rolling_rushing_touchdowns,rolling_receiving_touchdowns,prev_rushing_yards,prev_receiving_yards,prev_rushing_touchdowns,prev_receiving_touchdowns,prev_red_zone,rolling_red_zone,played
00-0036875,Rhamondre Stevenson,NE,2024,7,0,0,0,JAX,0.25125628140703515,Questionable,295.0,295.0,51.666666666666664,7.333333333333333,0.3333333333333333,0.0,374.0,44.0,3.0,0.0,0.5577000000000001,0.8181999999999999,1.0
00-0036876,Kylen Granson,IND,2024,7,0,1,0,MIA,0.6078431372549019,Healthy,284.0,284.0,0.0,20.0,0.0,0.0,0.0,49.0,0.0,0.0,0.6167,0.375,1.0
00-0036879,Sam Ehlinger,IND,2024,7,0,1,0,MIA,0.6078431372549019,Healthy,284.0,284.0,,,,,,,,,0.6167,0.375,
00-0036887,Luke Farrell,JAX,2024,7,0,1,0,NE,0.7487437185929648,Healthy,366.0,366.0,0.0,6.0,0.0,0.0,0.0,31.0,0.0,0.0,0.46149999999999997,0.7,
00-0036893,Najee Harris,PIT,2024,7,0,1,1,NYJ,0.4166666666666667,Minor,409.0,409.0,59.25,30.25,0.25,0.0,478.0,135.0,2.0,0.0,0.48979999999999996,0.7273000000000001,1.0
00-0036894,Pat Freiermuth,PIT,2024,7,0,1,0,NYJ,0.4166666666666667,Healthy,409.0,409.0,0.0,32.0,0.0,0.5,0.0,245.0,0.0,2.0,0.48979999999999996,0.7273000000000001,1.0
00-0036898,Davis Mills,HOU,2024,7,0,0,0,GB,0.37037037037037035,Healthy,197.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5397,0.5,
00-0036900,Ja'Marr Chase,CIN,2024,7,0,0,1,CLE,0.6551724137931034,Healthy,223.0,223.0,0.0,117.0,0.0,1.25,11.0,620.0,0.0,6.0,0.7111,0.5,1.0
00-0036912,DeVonta Smith,PHI,2024,7,0,0,0,NYG,0.5833333333333333,Healthy,339.0,339.0,0.0,73.0,0.0,0.6666666666666666,0.0,301.0,0.0,2.0,0.6102000000000001,0.8,1.0
00-0036919,Kenneth Gainwell,PHI,2024,7,0,0,0,NYG,0.5833333333333333,Healthy,339.0,339.0,9.5,3.0,0.0,0.0,96.0,33.0,0.0,0.0,0.6102000000000001,0.8,1.0
00-0036928,Kyle Trask,TB,2024,7,0,1,0,BAL,0.3508771929824561,Healthy,483.0,483.0,,,,,-2.0,0.0,0.0,0.0,0.42310000000000003,0.7273000000000001,
00-0036945,Justin Fields,PIT,2024,7,0,1,0,NYJ,0.4166666666666667,Healthy,409.0,409.0,36.75,0.0,1.25,0.0,231.0,0.0,5.0,0.0,0.48979999999999996,0.7273000000000001,
00-0036950,Avery Williams,ATL,2024,7,0,1,0,SEA,0.6183206106870229,Healthy,385.0,385.0,,,,,,,,,0.6071,0.5455,
00-0036963,Amon-Ra St. Brown,DET,2024,7,0,0,1,MIN,0.45871559633027525,Healthy,391.0,391.0,0.0,69.0,0.0,0.75,0.0,401.0,0.0,4.0,0.54,0.7778,1.0
00-0036970,Kyle Pitts,ATL,2024,7,0,1,0,SEA,0.6183206106870229,Healthy,385.0,385.0,0.0,54.25,0.0,0.0,0.0,328.0,0.0,1.0,0.6071,0.5455,1.0
00-0036971,Trevor Lawrence,JAX,2024,7,0,1,0,NE,0.7487437185929648,Healthy,366.0,366.0,7.25,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.46149999999999997,0.7,1.0
00-0036972,Mac Jones,JAX,2024,7,0,1,0,NE,0.7487437185929648,Healthy,366.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46149999999999997,0.7,
00-0036973,Travis Etienne,JAX,2024,7,0,1,0,NE,0.7487437185929648,Questionable,366.0,366.0,33.5,17.5,0.0,0.0,230.0,91.0,2.0,0.0,0.46149999999999997,0.7,
00-0036980,Elijah Moore,CLE,2024,7,0,1,0,CIN,0.3448275862068966,Healthy,338.0,338.0,0.0,10.5,0.0,0.0,0.0,136.0,0.0,0.0,0.5167,0.8,1.0
00-0036984,Trey Sermon,IND,2024,7,0,1,0,MIA,0.6078431372549019,Minor,284.0,284.0,22.75,6.25,0.5,0.0,127.0,45.0,2.0,0.0,0.6167,0.375,1.0
00-0036988,Josh Palmer,LAC,2024,7,0,0,0,ARI,0.504950495049505,Healthy,395.0,395.0,0.0,31.0,0.0,0.0,0.0,171.0,0.0,0.0,0.6056,0.2727,1.0
00-0036997,Javonte Williams,DEN,2024,7,0,0,1,NO,0.5535714285714286,Healthy,389.0,389.0,43.25,23.75,0.0,0.0,301.0,166.0,2.0,0.0,0.5106,0.5333,1.0
00-0037004,Hunter Long,LA,2024,7,0,1,0,LV,0.7802197802197802,Healthy,259.0,259.0,0.0,16.0,0.0,0.0,0.0,21.0,0.0,0.0,0.625,0.6364,1.0
00-0037005,Tommy Tremble,CAR,2024,7,0,0,0,WAS,0.15748031496062997,Questionable,180.0,180.0,0.0,18.0,0.0,0.0,0.0,59.0,0.0,0.0,0.5667,0.7143,
00-0037013,Zach Wilson,DEN,2024,7,0,0,0,NO,0.5535714285714286,Healthy,389.0,389.0,,,,,,,,,0.5106,0.5333,
00-0037077,Sam Howell,SEA,2024,7,0,0,0,ATL,0.38167938931297707,Healthy,339.0,339.0,,,,,,,,,0.45280000000000004,0.625,
00-0037086,Grant Calcaterra,PHI,2024,7,0,0,0,NYG,0.5833333333333333,Healthy,339.0,339.0,0.0,37.333333333333336,0.0,0.0,0.0,128.0,0.0,0.0,0.6102000000000001,0.8,1.0
00-0037091,Bo Melton,GB,2024,7,0,1,0,HOU,0.6296296296296297,Healthy,277.0,284.0,9.0,15.333333333333334,0.0,0.0,34.0,54.0,0.0,0.0,0.5574,0.6667000000000001,1.0
00-0037093,Dareke Young,SEA,2024,7,0,0,0,ATL,0.38167938931297707,Healthy,339.0,339.0,,,,,0.0,0.0,0.0,0.0,0.45280000000000004,0.625,
00-0037112,Jake Tonges,SF,2024,7,0,1,0,KC,0.5867768595041323,Healthy,310.0,310.0,,,,,,,,,0.5088,0.5714,
00-0037120,Tyler Goodson,IND,2024,7,0,1,1,MIA,0.6078431372549019,Healthy,284.0,284.0,38.5,22.5,0.0,0.0,128.0,47.0,1.0,0.0,0.6167,0.375,1.0
00-0037156,Irvin Charles,NYJ,2024,7,0,0,0,PIT,0.5833333333333333,Healthy,325.0,325.0,,,,,0.0,0.0,0.0,0.0,0.4717,0.5,1.0
00-0037228,Jaylen Warren,PIT,2024,7,0,1,0,NYJ,0.4166666666666667,Healthy,409.0,409.0,6.0,3.5,0.0,0.0,105.0,54.0,0.0,0.0,0.48979999999999996,0.7273000000000001,1.0
00-0037238,Drake London,ATL,2024,7,0,1,1,SEA,0.6183206106870229,Healthy,385.0,385.0,0.0,89.75,0.0,0.75,0.0,491.0,0.0,5.0,0.6071,0.5455,1.0
00-0037240,Jameson Williams,DET,2024,7,0,0,0,MIN,0.45871559633027525,Healthy,391.0,391.0,4.75,61.0,0.0,0.5,32.0,361.0,0.0,3.0,0.54,0.7778,1.0
00-0037247,George Pickens,PIT,2024,7,0,1,1,NYJ,0.4166666666666667,Healthy,409.0,409.0,0.0,62.25,0.0,0.0,-10.0,474.0,0.0,1.0,0.48979999999999996,0.7273000000000001,1.0
00-0037248,James Cook,BUF,2024,7,0,1,1,TEN,0.84251968503937,Minor,389.0,389.0,53.333333333333336,24.666666666666668,0.6666666666666666,0.0,341.0,123.0,5.0,1.0,0.377,0.6,1.0
00-0037252,Greg Dulcich,DEN,2024,7,0,0,0,NO,0.5535714285714286,Healthy,389.0,389.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.5106,0.5333,
00-0037256,Rachaad White,TB,2024,7,0,1,1,BAL,0.3508771929824561,Questionable,483.0,483.0,46.0,15.666666666666666,0.0,0.0,227.0,198.0,0.0,2.0,0.42310000000000003,0.7273000000000001,1.0
00-0037258,Dameon Pierce,HOU,2024,7,0,0,0,GB,0.37037037037037035,Healthy,197.0,197.0,76.0,1.0,1.0,0.0,94.0,1.0,1.0,0.0,0.5397,0.5,1.0
00-0037261,Khalil Shakir,BUF,2024,7,0,1,0,TEN,0.84251968503937,Minor,389.0,389.0,0.0,51.0,0.0,0.3333333333333333,2.0,314.0,0.0,2.0,0.377,0.6,1.0
00-0037263,Tyler Allgeier,ATL,2024,7,0,1,0,SEA,0.6183206106870229,Healthy,385.0,385.0,52.25,9.0,0.25,0.0,319.0,57.0,1.0,0.0,0.6071,0.5455,1.0
00-0037276,Ty Chandler,MIN,2024,7,0,1,0,DET,0.5412844036697247,Healthy,383.0,383.0,32.5,4.25,0.0,0.0,151.0,42.0,0.0,0.0,0.6563,0.4286,1.0
00-0037277,Teagan Quitoriano,HOU,2024,7,0,0,0,GB,0.37037037037037035,Healthy,197.0,197.0,,,,,,,,,0.5397,0.5,
00-0037291,Jalen Nailor,MIN,2024,7,0,1,0,DET,0.5412844036697247,Healthy,383.0,383.0,1.0,38.666666666666664,0.0,0.6666666666666666,3.0,213.0,0.0,3.0,0.6563,0.4286,1.0
00-0037292,Andrew Ogletree,IND,2024,7,0,1,0,MIA,0.6078431372549019,Healthy,284.0,284.0,0.0,14.666666666666666,0.0,0.3333333333333333,0.0,56.0,0.0,1.0,0.6167,0.375,1.0
00-0037304,Connor Heyward,PIT,2024,7,0,1,0,NYJ,0.4166666666666667,Healthy,409.0,409.0,0.0,9.666666666666666,0.0,0.3333333333333333,0.0,29.0,0.0,1.0,0.48979999999999996,0.7273000000000001,
00-0037306,John FitzPatrick,GB,2024,7,0,1,0,HOU,0.6296296296296297,Healthy,277.0,280.5,,,,,,,,,0.5574,0.6667000000000001,
00-0037311,Ko Kieft,TB,2024,7,0,1,0,BAL,0.3508771929824561,Healthy,483.0,483.0,,,,,,,,,0.42310000000000003,0.7273000000000001,
00-0037327,Skylar Thompson,MIA,2024,7,0,0,0,IND,0.3921568627450981,Questionable,337.0,337.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.5577000000000001,0.5556,
00-0037348,Tanner Conner,MIA,2024,7,0,0,0,IND,0.3921568627450981,Healthy,337.0,337.0,0.0,8.0,0.0,0.0,0.0,16.0,0.0,0.0,0.5577000000000001,0.5556,
00-0037429,Raheem Blackshear,CAR,2024,7,0,0,0,WAS,0.15748031496062997,Doubtful,180.0,180.0,,,,,,,,,0.5667,0.7143,
00-0037450,Tyreik McAllister,LV,2024,7,0,0,0,LA,0.21978021978021978,Minor,317.0,317.0,11.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.5686,0.44439999999999996,
00-0037451,Rod Williams,PIT,2024,7,0,1,0,NYJ,0.4166666666666667,Healthy,409.0,409.0,,,,,,,,,0.48979999999999996,0.7273000000000001,
00-0037475,Stone Smartt,LAC,2024,7,0,0,0,ARI,0.504950495049505,Healthy,395.0,395.0,0.0,10.0,0.0,0.0,0.0,41.0,0.0,0.0,0.6056,0.2727,1.0
00-0037525,Jordan Mason,SF,2024,7,0,1,0,KC,0.5867768595041323,Minor,310.0,310.0,90.5,16.5,0.25,0.0,667.0,86.0,3.0,0.0,0.5088,0.5714,1.0
00-0037539,Lucas Krull,DEN,2024,7,0,0,0,NO,0.5535714285714286,Healthy,389.0,389.0,0.0,8.0,0.0,0.0,0.0,57.0,0.0,0.0,0.5106,0.5333,1.0
00-0037557,Ronnie Rivers,LA,2024,7,0,1,0,LV,0.7802197802197802,Healthy,259.0,259.0,11.666666666666666,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.625,0.6364,
00-0037594,Julius Chestnut,TEN,2024,7,0,0,0,BUF,0.15748031496062997,Healthy,289.0,289.0,2.0,0.0,0.0,0.0,17.0,9.0,0.0,0.0,0.5536,0.3333,1.0
00-0037609,Aaron Shampklin,PIT,2024,7,0,1,0,NYJ,0.4166666666666667,Healthy,409.0,409.0,5.666666666666667,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.48979999999999996,0.7273000000000001,
00-0037614,John Metchie III,HOU,2024,7,0,0,0,GB,0.37037037037037035,Healthy,197.0,197.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.5397,0.5,
00-0037617,Hassan Haskins,LAC,2024,7,0,0,0,ARI,0.504950495049505,Healthy,395.0,395.0,8.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.6056,0.2727,1.0
00-0037664,Alec Pierce,IND,2024,7,0,1,0,MIA,0.6078431372549019,Questionable,284.0,284.0,0.0,46.75,0.0,0.25,0.0,383.0,0.0,3.0,0.6167,0.375,1.0
00-0037740,Garrett Wilson,NYJ,2024,7,0,0,0,PIT,0.5833333333333333,Healthy,325.0,325.0,0.0,70.5,0.0,0.75,5.0,460.0,0.0,3.0,0.4717,0.5,1.0
00-0037741,Jahan Dotson,PHI,2024,7,0,0,0,NYG,0.5833333333333333,Healthy,339.0,339.0,3.25,8.75,0.0,0.0,13.0,35.0,0.0,0.0,0.6102000000000001,0.8,1.0
00-0037744,Trey McBride,ARI,2024,7,0,1,0,LAC,0.49504950495049505,Healthy,326.0,326.0,0.0,58.0,0.0,0.0,0.0,322.0,0.0,0.0,0.5294,0.6667000000000001,1.0
00-0037746,Brian Robinson,WAS,2024,7,0,1,1,CAR,0.84251968503937,Questionable,421.0,421.0,50.666666666666664,5.333333333333333,1.3333333333333333,0.0,396.0,68.0,6.0,0.0,0.6315999999999999,0.5556,1.0
00-0037805,Jeremy Ruckert,NYJ,2024,7,0,0,0,PIT,0.5833333333333333,Healthy,325.0,325.0,0.0,10.666666666666666,0.0,0.0,0.0,32.0,0.0,0.0,0.4717,0.5,
00-0037809,Chig Okonkwo,TEN,2024,7,0,0,0,BUF,0.15748031496062997,Healthy,289.0,289.0,0.0,10.5,0.0,0.0,0.0,107.0,0.0,1.0,0.5536,0.3333,1.0
00-0037816,Romeo Doubs,GB,2024,7,0,1,0,HOU,0.6296296296296297,Healthy,277.0,277.0,0.0,35.333333333333336,0.0,0.6666666666666666,0.0,312.0,0.0,2.0,0.5574,0.6667000000000001,1.0
00-0037834,Brock Purdy,SF,2024,7,0,1,1,KC,0.5867768595041323,Healthy,310.0,310.0,26.0,0.0,0.0,0.0,154.0,0.0,2.0,0.0,0.5088,0.5714,1.0
00-0037837,Calvin Austin III,PIT,2024,7,0,1,0,NYJ,0.4166666666666667,Healthy,409.0,409.0,0.0,38.5,0.0,0.25,0.0,203.0,0.0,1.0,0.48979999999999996,0.7273000000000001,1.0
00-0037838,Isaiah Likely,BAL,2024,7,0,0,0,TB,0.6491228070175439,Healthy,508.0,508.0,0.0,17.5,0.0,0.5,0.0,224.0,0.0,3.0,0.45,0.6154,1.0
00-0037840,Kyren Williams,LA,2024,7,0,1,1,LV,0.7802197802197802,Healthy,259.0,259.0,77.5,16.75,1.25,0.25,436.0,71.0,8.0,1.0,0.625,0.6364,1.0
00-0038040,Zamir White,LV,2024,7,0,0,0,LA,0.21978021978021978,Questionable,317.0,317.0,42.0,0.0,0.0,0.0,165.0,30.0,0.0,0.0,0.5686,0.44439999999999996,1.0
